paper,venue,year,paradigm,open_source,proxy,proxy_function,notes
Gustavson,ACM TOMS,1978,SPA(起源),N/A,N/A,N/A,经典算法起源;现代实现不再直接用
RMerge (Gremse et al.),SISC,2015,Merge,No,本项目 merge2,spgemm_self_product_merge2,GPU merge 鼻祖;warp k-way shuffle merge 算法等价于 NPC'18 reg-merge
RMerge extended (Gremse et al.),SISC,2018,Merge,No,本项目 merge2,spgemm_self_product_merge2,RMerge 期刊版
Register-Aware (Liu et al.),NPC,2018,Merge,No,本项目 merge2,spgemm_self_product_merge2,reg-merge = warp shuffle k-way merge(与 merge2 同算法)
Multiway Merge Partitioning (Lorimer et al.),PACT,2025,Merge,No,本项目 merge3,spgemm_self_product_merge3,2025 最新 merge GPU 论文;col-bucket + binary search 可对比
SpArch (Zhang et al.),ISCA,2019,Merge(硬件),No(ASIC),无GPU代理,N/A,硬件 merge tree;无 GPU 软件等价物
bhSPARSE (Liu & Vinter),IPDPS,2015,ESC(sort),Yes,直接用源码,N/A,GitHub: bhSPARSE;thrust::sort_by_key 做去重
Dalton et al.,ACM TOMS,2015,ESC(sort)+Merge-Path,Yes,直接用源码,N/A,GitHub: owensgroup/merge-spmm;SpMM 版需改造为 SpGEMM
NSPARSE (Nagasaka et al.),ICPP,2017,Hash,Yes,直接用源码,N/A,GitHub: EBD-CREST/nsparse;hash + merge preprocessing
spECK (Anh et al.),TPDS,2021,Hash,Yes,直接用源码,N/A,hash SPA;balanced hashing
AC-SpGEMM (Winter et al.),TACO,2019,Hash+Split-K,No,cuSPARSE 11.x,cusparseSpGEMM_compute,merge-path 做负载均衡;累加器是 hash
Gamma (Zhang et al.),ASPLOS,2021,Tile(硬件),No(ASIC),CUTLASS,cutlass::gemm::kernel::SparseTensorOpBiasFma,Gustavson 硬件加速器;GPU 上用 CUTLASS sparse 近似
Spada (Li et al.),ASPLOS,2023,Adaptive(硬件),No(ASIC),cuSPARSE 11.x,cusparseSpGEMM_compute,自适应 dataflow;GPU 上用 cuSPARSE hash 近似
Ocean,arXiv,2024,Hash+Binning,No(有binary),本项目 baseline_ocean.py,ocean_compute_ms,我们已有二进制;本质是 hash+binning
cuSPARSE 11.x,NVIDIA,2021+,Hash+Tile+NNS,Yes(闭源),即本体,cusparseSpGEMM_prune+compute,生产库;默认 hash 累加器+symbolic estimation
MH-SpGEMM,arXiv,2025,Hash(masking),No,cuSPARSE 11.x,cusparseSpGEMM_compute,masking+hash 协作优化;代理用 cuSPARSE
Multi-GPU NSparse (Mavliutov et al.),Wiley,2025,Hash,No,cuSPARSE 11.x,cusparseSpGEMM_compute,多 GPU NSparse 改进;单 GPU 代理用 cuSPARSE
KAMI (Wang et al.),SC,2025,Comm-avoiding,No,cuSPARSE 11.x,cusparseSpGEMM_compute,communication-avoiding;单 GPU 代理用 cuSPARSE
MAGNUS,ACM,2025,Data locality(CPU),No,N/A,N/A,CPU 算法;非 GPU
Libra,arXiv,2025,CUDA+TensorCore,No,CUTLASS,cutlass sparse GEMM,异构加速;SpMM 非 SpGEMM
GeneralSparse,USENIX ATC,2025,Hierarchical reduction,No,CUTLASS,cutlass sparse GEMM,SpMM 非 SpGEMM
